wavelength_nm,transmission_amplitude_real,transmission_amplitude_imag,transmission_phase_rad,transmission_phase_unwrapped_rad
575.0,0.7593074578669914,-0.33516861881171245,-0.41569055187775295,-6.698875859057338
576.0,0.7407815157241046,-0.3519569172951648,-0.44354272078327983,-6.726728027962865
577.0,0.7232908758157705,-0.36593797156931046,-0.4683841109061049,-6.75156941808569
578.0,0.7077574662319841,-0.37734689033005164,-0.48982117984919865,-6.773006487028784
579.0,0.6951311619640602,-0.3868310945667883,-0.5078095912572196,-6.790994898436805
580.0,0.6861644196992487,-0.3955203888793367,-0.5229024270470766,-6.8060877342266615
581.0,0.6811194091942123,-0.40494604398792156,-0.536387865587157,-6.819573172766742
582.0,0.6795318615001763,-0.4167531118548819,-0.5501375173627457,-6.833322824542331
583.0,0.6801942601187734,-0.43227152765498994,-0.5661227278900388,-6.849308035069624
584.0,0.6814286181495465,-0.4521429830652956,-0.5858224711614962,-6.869007778341081
585.0,0.6815334347338712,-0.4762014408859162,-0.6098667810498865,-6.893052088229472
586.0,0.6791785348764627,-0.5036445885071695,-0.6380708966593479,-6.921256203838933
587.0,0.6735882957014565,-0.5333597851331617,-0.6697323764395311,-6.952917683619116
588.0,0.6645102340054936,-0.5642281562508324,-0.7039647919828766,-6.987150099162462
589.0,0.65206637483855,-0.5953101758513388,-0.7399290704851647,-7.02311437766475
590.0,0.6365873974009697,-0.6259101582109771,-0.7769411294880572,-7.060126436667643
591.0,0.618483729645887,-0.6555627346115492,-0.8144932887563298,-7.097678595935915
592.0,0.5981655714649738,-0.6839858061673103,-0.8522330275841716,-7.135418334763757
593.0,0.5760026893582972,-0.711028425235385,-0.8899283390191561,-7.1731136461987415
594.0,0.5523099294354864,-0.7366265411983468,-0.927434224138657,-7.210619531318242
595.0,0.5273468026368051,-0.7607700016925787,-0.9646655507863876,-7.247850857965973
596.0,0.5013234983012846,-0.7834798277139847,-1.0015769407428052,-7.284762247922391
597.0,0.474408993140052,-0.8047934265329469,-1.0381486188750877,-7.321333926054673
598.0,0.44673909661324396,-0.8247554190638877,-1.07437678134065,-7.357562088520235
599.0,0.41842352368495545,-0.8434122267001855,-1.1102671903540353,-7.39345249753362
600.0,0.38955173388105063,-0.8608090810674778,-1.1458309938411047,-7.42901630102069
601.0,0.3601975757143889,-0.8769885483733886,-1.1810820472498598,-7.464267354429445
602.0,0.3304228914204998,-0.8919899735068438,-1.2160352367964848,-7.499220543976071
603.0,0.3002802629465498,-0.9058494640806135,-1.2507054659111434,-7.533890773090729
604.0,0.26981506681451206,-0.918600176271288,-1.2851070804463347,-7.56829238762592
605.0,0.23906697822072648,-0.9302727549301569,-1.3192535860193462,-7.602438893198931
606.0,0.2080710353666019,-0.9408958368406746,-1.353157563425063,-7.636342870604649
